Rest,SF,EMC,IMC
0.27480113,0.271717181,0.287256314,0.291705143
0.314135514,0.349804256,0.372530222,0.379514859
0.315625341,0.233249554,0.277188485,0.268991243
0.309949411,0.311197906,0.327023396,0.316301581
0.267977344,0.359602553,0.352678027,0.375206253
0.368219083,0.358171363,0.387595026,0.402541881
0.297605171,0.296747442,0.313621941,0.280059276
0.391091243,0.339524479,0.39689166,0.378566216
0.321813762,0.332956574,0.357212899,0.352886851
0.295595588,0.284862422,0.303039819,0.295560142
0.332163642,0.355313643,0.365550126,0.352950658
0.435485627,0.33320236,0.334269613,0.337720355
0.373187366,0.333562691,0.393267091,0.369956998
0.283842942,0.322624893,0.333664312,0.325013189
0.40668811,0.368842878,0.394303522,0.363650851
0.419065649,0.317126901,0.334009443,0.332495032
0.361380729,0.283626933,0.349346342,0.322046158
0.386690609,0.333265545,0.367366191,0.316900441
0.322700934,0.368015499,0.349717961,0.352237609
0.349473521,0.400704895,0.419935035,0.415783478
0.31790472,0.318160116,0.328512775,0.328502389
0.315883741,0.279930782,0.319153868,0.297664872
0.444744698,0.411806956,0.473801509,0.417245966
0.304876147,0.296042998,0.322916359,0.290538242
0.394781315,0.319031875,0.340516935,0.314259124
0.354805424,0.346620705,0.34058156,0.359931417
0.305472505,0.312391296,0.342844335,0.327208079
