Rest,SF,EMC,IMC
0,0.369765001,0.401917762,0.403484196
0.38779246,0.408643548,0.411458947,0.434697825
0,0.280322315,0.324056705,0.34947827
0,0.429334992,0.43387869,0.444797113
0.36078375,0.423066669,0.399815105,0.457157886
0.43657422,0.417639662,0.413895127,0.448875638
0.343499967,0.321707019,0.373605423,0.375353321
0,0.415280282,0.407346678,0.394608506
0,0.369586284,0.404649904,0.393524179
0,0.358869724,0.380105081,0.349253973
0.40114191,0.423579027,0.417051301,0.445043041
0.52455477,0.345530579,0.374625668,0.401882254
0,0.36561653,0.433097835,0.380987021
0,0.372451009,0.358661179,0.39520745
0.395356625,0.405582499,0.503539186,0.408146216
0.543591847,0.372077672,0.39444005,0.419623076
0.46755643,0.342735097,0.371820853,0.335811615
0,0.385997267,0.429846746,0.396325806
0,0.374734261,0.346739445,0.402197534
0.520974524,0.477204357,0.480642367,0.460059548
0.4290155,0.403131246,0.39331324,0.374836893
0,0.379156027,0.417768866,0.384243235
0,0.351440087,0.529310639,0.497461822
0.426842374,0.346940058,0.392325257,0.356083832
0,0.374489947,0.383177814,0.354200513
0.30564123,0.40189568,0.421946069,0.454230523
0,0.390416447,0.378400747,0.355099751
